Local Site Name,Month_Year,Site Latitude,Site Longitude,CO,NO,PM10,PM2.5,SO2
COOK COUNTY TRAILER,2011-03,41.6681203371799,-87.9905696935943,,,,,12.096774193548388
COOK COUNTY TRAILER,2011-03,41.8552431328191,-87.7524696987102,6.032258064516129,36.5,,,12.096774193548388
COOK COUNTY TRAILER,2011-04,41.6681203371799,-87.9905696935943,,,,,12.916666666666666
COOK COUNTY TRAILER,2011-04,41.8552431328191,-87.7524696987102,6.133333333333334,32.82142857142857,,,12.916666666666666
COOK COUNTY TRAILER,2011-05,41.6681203371799,-87.9905696935943,,,,,10.935483870967742
COOK COUNTY TRAILER,2011-05,41.8552431328191,-87.7524696987102,5.67741935483871,30.967741935483872,,,10.935483870967742
COOK COUNTY TRAILER,2011-06,41.6681203371799,-87.9905696935943,,,,,16.655172413793103
COOK COUNTY TRAILER,2011-06,41.8552431328191,-87.7524696987102,5.366666666666666,33.48275862068966,,,16.655172413793103
COOK COUNTY TRAILER,2011-07,41.6681203371799,-87.9905696935943,,,,,20.508474576271187
COOK COUNTY TRAILER,2011-07,41.8552431328191,-87.7524696987102,5.258064516129032,36.26923076923077,,,20.508474576271187
COOK COUNTY TRAILER,2011-08,41.6681203371799,-87.9905696935943,,,,,18.822580645161292
COOK COUNTY TRAILER,2011-08,41.8552431328191,-87.7524696987102,6.419354838709677,37.064516129032256,,,18.822580645161292
COOK COUNTY TRAILER,2011-09,41.6681203371799,-87.9905696935943,,,,,16.183333333333334
COOK COUNTY TRAILER,2011-09,41.8552431328191,-87.7524696987102,6.233333333333333,28.6,,,16.183333333333334
COOK COUNTY TRAILER,2011-10,41.6681203371799,-87.9905696935943,,,,,23.419354838709676
COOK COUNTY TRAILER,2011-10,41.8552431328191,-87.7524696987102,6.451612903225806,35.225806451612904,,,23.419354838709676
COOK COUNTY TRAILER,2011-11,41.6681203371799,-87.9905696935943,,,,,12.927272727272728
COOK COUNTY TRAILER,2011-11,41.8552431328191,-87.7524696987102,4.6,24.433333333333337,,,12.927272727272728
COOK COUNTY TRAILER,2011-12,41.6681203371799,-87.9905696935943,,,,,26.838709677419356
COOK COUNTY TRAILER,2011-12,41.8552431328191,-87.7524696987102,6.0,26.612903225806452,,,26.838709677419356
COOK COUNTY TRAILER,2012-01,41.6681203371799,-87.9905696935943,,,,,28.677419354838708
COOK COUNTY TRAILER,2012-01,41.8552431328191,-87.7524696987102,9.193548387096774,34.45161290322581,,,28.677419354838708
COOK COUNTY TRAILER,2012-02,41.6681203371799,-87.9905696935943,,,,,31.655172413793103
COOK COUNTY TRAILER,2012-02,41.8552431328191,-87.7524696987102,6.827586206896552,31.344827586206897,,,31.655172413793103
COOK COUNTY TRAILER,2012-03,41.6681203371799,-87.9905696935943,,,,,31.483870967741936
COOK COUNTY TRAILER,2012-03,41.8552431328191,-87.7524696987102,5.548387096774194,28.379310344827587,,,31.483870967741936
COOK COUNTY TRAILER,2012-04,41.6681203371799,-87.9905696935943,,,,,5.0701754385964914
COOK COUNTY TRAILER,2012-04,41.8552431328191,-87.7524696987102,4.866666666666666,30.733333333333334,,,5.0701754385964914
COOK COUNTY TRAILER,2012-05,41.6681203371799,-87.9905696935943,,,,,15.451612903225806
COOK COUNTY TRAILER,2012-05,41.8552431328191,-87.7524696987102,6.645161290322581,31.516129032258064,,,15.451612903225806
COOK COUNTY TRAILER,2012-06,41.6681203371799,-87.9905696935943,,,,,15.4
COOK COUNTY TRAILER,2012-06,41.8552431328191,-87.7524696987102,4.9,23.8,,,15.4
COOK COUNTY TRAILER,2012-07,41.6681203371799,-87.9905696935943,,,,,13.081967213114757
COOK COUNTY TRAILER,2012-07,41.8552431328191,-87.7524696987102,3.4516129032258065,12.758620689655173,,,13.081967213114757
COOK COUNTY TRAILER,2012-08,41.6681203371799,-87.9905696935943,,,,,7.403225806451613
COOK COUNTY TRAILER,2012-08,41.8552431328191,-87.7524696987102,3.3225806451612905,15.870967741935484,,,7.403225806451613
COOK COUNTY TRAILER,2012-09,41.6681203371799,-87.9905696935943,,,,,6.020408163265306
COOK COUNTY TRAILER,2012-09,41.8552431328191,-87.7524696987102,5.366666666666666,32.73076923076923,,,6.020408163265306
COOK COUNTY TRAILER,2012-10,41.6681203371799,-87.9905696935943,,,,,5.887096774193548
COOK COUNTY TRAILER,2012-10,41.8552431328191,-87.7524696987102,4.225806451612903,29.06896551724138,,,5.887096774193548
COOK COUNTY TRAILER,2012-11,41.6681203371799,-87.9905696935943,,,,,14.88135593220339
COOK COUNTY TRAILER,2012-11,41.8552431328191,-87.7524696987102,6.833333333333333,45.22222222222222,,,14.88135593220339
COOK COUNTY TRAILER,2012-12,41.6681203371799,-87.9905696935943,,,,,8.258064516129032
COOK COUNTY TRAILER,2012-12,41.8552431328191,-87.7524696987102,5.774193548387097,,,,8.258064516129032
COOK COUNTY TRAILER,2013-01,41.6681203371799,-87.9905696935943,,,,,7.112903225806452
COOK COUNTY TRAILER,2013-01,41.8552431328191,-87.7524696987102,,29.142857142857142,,,7.112903225806452
COOK COUNTY TRAILER,2013-02,41.6681203371799,-87.9905696935943,,,,,9.785714285714286
COOK COUNTY TRAILER,2013-02,41.8552431328191,-87.7524696987102,,35.357142857142854,,,9.785714285714286
COOK COUNTY TRAILER,2013-03,41.6681203371799,-87.9905696935943,,,,,10.517857142857142
COOK COUNTY TRAILER,2013-03,41.8552431328191,-87.7524696987102,,38.83870967741935,,,10.517857142857142
COOK COUNTY TRAILER,2013-04,41.6681203371799,-87.9905696935943,,,,,8.983333333333333
COOK COUNTY TRAILER,2013-04,41.8552431328191,-87.7524696987102,,34.733333333333334,,,8.983333333333333
COOK COUNTY TRAILER,2013-05,41.6681203371799,-87.9905696935943,,,,,10.03225806451613
COOK COUNTY TRAILER,2013-05,41.8552431328191,-87.7524696987102,,34.32258064516129,,,10.03225806451613
COOK COUNTY TRAILER,2013-06,41.6681203371799,-87.9905696935943,,,,,8.75
COOK COUNTY TRAILER,2013-06,41.8552431328191,-87.7524696987102,,32.06666666666667,,,8.75
COOK COUNTY TRAILER,2013-07,41.6681203371799,-87.9905696935943,,,,,9.637931034482758
COOK COUNTY TRAILER,2013-07,41.8552431328191,-87.7524696987102,,26.06451612903226,,,9.637931034482758
COOK COUNTY TRAILER,2013-08,41.6681203371799,-87.9905696935943,,,,,11.32258064516129
COOK COUNTY TRAILER,2013-08,41.8552431328191,-87.7524696987102,,32.16129032258065,,,11.32258064516129
COOK COUNTY TRAILER,2013-09,41.6681203371799,-87.9905696935943,,,,,10.672413793103448
COOK COUNTY TRAILER,2013-09,41.8552431328191,-87.7524696987102,,32.0,,,10.672413793103448
COOK COUNTY TRAILER,2013-10,41.6681203371799,-87.9905696935943,,,,,11.435483870967742
COOK COUNTY TRAILER,2013-10,41.8552431328191,-87.7524696987102,,32.483870967741936,,,11.435483870967742
