Layer,Name,GEOID,Population,Longitude,Latitude,PMC_2011,PMC_2012,PMC_2013,PMC_2014,PMC_2015,PMC_2016,PMC_2017,PMC_2018,PMC_2019,PMC_2020
Census tract,Tract 2503,17031250300,4742,-87.7608528,41.9128483,12.443254137210408,12.07275475352259,11.494090170715175,13.026218359247066,9.919173455930048,9.525198611899865,10.492427065128803,10.49235726,10.05852438,9.242044535519128
Census tract,Tract 2504,17031250400,5789,-87.7754058,41.912905,12.491281,12.07442131,11.48802055,13.01731342,9.940930328,9.556908767,10.52010247,10.52010247,10.07643014,9.262153005
Census tract,Tract 2505,17031250500,7315,-87.796796,41.914618,12.401793,12.07392705,11.46403288,12.98535178,9.955904645,9.593974795,10.56066274,10.56066274,10.10965151,9.278886066
Census tract,Tract 2506,17031250600,4203,-87.7706303,41.9056935,12.491072,12.09175492,11.51542767,13.05323726,9.946218852,9.562127123,10.53850466,10.53850466,10.09480959,9.287172131
Census tract,Tract 2507,17031250700,5932,-87.7608128,41.9058206,12.463156,12.09085628,11.51818247,13.05701041,9.948607104,9.545667397,10.51069479,10.51069479,10.09314685,9.270911475
Census tract,Tract 2508,17031250800,2432,-87.7514741,41.9061855,12.512978,12.08102022,11.52785507,13.06469233,9.930886612,9.528257534,10.48022685,10.48022685,10.06888274,9.254942076502727
Census tract,Tract 2510,17031251000,1075,-87.7448924,41.8986945,12.52076,12.09932104,11.55640904,13.08931973,9.942662568,9.535876986,10.50349178,10.50349178,10.08258658,9.278946995
Census tract,Tract 2511,17031251100,4468,-87.7520112,41.8986248,12.48922,12.10746148,11.55498548,13.09340521,9.948033333,9.55450274,10.52402712,10.52402712,10.09176932,9.289026776
Census tract,Tract 2512,17031251200,3910,-87.760604,41.8985491,12.516777,12.10734699,11.54354247,13.09539836,9.955299727,9.568417808,10.53625452,10.53625452,10.10343288,9.298803005
Census tract,Tract 2513,17031251300,5098,-87.7703849,41.8984251,12.49091,12.1133888,11.53177589,13.08778603,9.96504153,9.581521096,10.55685479,10.55685479,10.1241726,9.305998361
Census tract,Tract 2514,17031251400,3986,-87.7701248,41.8909574,12.471103,12.12094399,11.5535726,13.09421315,9.991124317,9.593348219,10.58252164,10.58252164,10.15044959,9.331388251
Census tract,Tract 2515,17031251500,4342,-87.7603538,41.8911035,12.540347,12.12785164,11.56702055,13.09552082,9.985201366,9.584270959,10.56280822,10.56280822,10.13920877,9.321148087431688
Census tract,Tract 2516,17031251600,3522,-87.7518037,41.8914065,12.508411,12.13045929,11.58024055,13.1145737,9.974864481,9.566278082,10.54795671,10.54795671,10.12714521,9.312303551912573
Census tract,Tract 2517,17031251700,1347,-87.7444793,41.8913844,12.531147,12.12419863,11.5918263,13.13127945,9.960162842,9.560071507,10.52673096,10.52673096,10.11483479,9.30873388
Census tract,Tract 2518,17031251800,5101,-87.7478885,41.8841436,12.5372,12.14446995,11.59999863,13.13819425,9.986073497,9.577175068,10.5516074,10.5516074,10.1538589,9.342938525
Census tract,Tract 2519,17031251900,5387,-87.7600945,41.8838116,12.517239,12.13976967,11.59327288,13.12008959,9.990895628,9.600743562,10.58582329,10.58582329,10.15944932,9.356296175
Census tract,Tract 2520,17031252000,5646,-87.7698798,41.8836759,12.485654,12.13555137,11.57712521,13.12996959,9.994105738,9.61225863,10.60620356,10.60620356,10.16644301,9.357103825
